1	ê	235,261	4.23%	4.23%
2	是	100,389	1.80%	6.03%
3	人	77,012	1.38%	7.41%
4	(Number)	69,969	1.26%	8.67%
5	有	69,572	1.25%	9.92%
6	無	57,613	1.03%	10.95%
7	來	56,895	1.02%	11.97%
8	我	52,899	0.95%	12.92%
9	一	52,423	0.94%	13.87%
10	講	51,849	0.93%	14.80%
11	伊	50,418	0.91%	15.70%
12	tī	44,452	0.80%	16.50%
13	會	40,954	0.74%	17.24%
14	去	37,078	0.67%	17.90%
15	著	34,281	0.62%	18.52%
16	m̄	33,539	0.60%	19.12%
17	個	32,855	0.59%	19.71%
18	就	32,830	0.59%	20.30%
19	台	30,231	0.54%	20.84%
20	真	29,926	0.54%	21.38%
21	做	29,165	0.52%	21.90%
22	koh	28,521	0.51%	22.42%
23	時	28,355	0.51%	22.93%
24	大	28,110	0.50%	23.43%
25	beh	26,486	0.48%	23.91%
26	kap	25,658	0.46%	24.37%
27	看	25,287	0.45%	24.82%
28	你	25,197	0.45%	25.27%
29	á	24,108	0.43%	25.71%
30	hō͘	23,760	0.43%	26.13%
31	所	22,981	0.41%	26.55%
32	這	22,822	0.41%	26.96%
33	語	22,508	0.40%	27.36%
34	in	22,071	0.40%	27.76%
35	生	20,831	0.37%	28.13%
36	仔	20,186	0.36%	28.49%
37	到	20,161	0.36%	28.85%
38	好	19,695	0.35%	29.21%
39	出	18,988	0.34%	29.55%
40	hit	18,545	0.33%	29.88%
41	a	18,451	0.33%	30.21%
42	家	18,408	0.33%	30.54%
43	學	18,394	0.33%	30.87%
44	若	18,304	0.33%	31.20%
45	用	18,205	0.33%	31.53%
46	文	18,114	0.33%	31.86%
47	kā	17,973	0.32%	32.18%
48	心	17,970	0.32%	32.50%
49	國	17,194	0.31%	32.81%
50	頭	17,100	0.31%	33.12%
51	灣	17,066	0.31%	33.42%
52	日	16,989	0.31%	33.73%
53	teh	16,979	0.30%	34.03%
54	年	16,154	0.29%	34.32%
55	上	16,095	0.29%	34.61%
56	教	15,915	0.29%	34.90%
57	過	15,492	0.28%	35.18%
58	為	15,370	0.28%	35.45%
59	的	14,969	0.27%	35.72%
60	字	14,318	0.26%	35.98%
61	中	14,087	0.25%	36.23%
62	知	14,079	0.25%	36.49%
63	後	14,015	0.25%	36.74%
64	也	13,965	0.25%	36.99%
65	咱	13,952	0.25%	37.24%
66	攏	13,342	0.24%	37.48%
67	起	13,217	0.24%	37.72%
68	話	13,079	0.23%	37.95%
69	面	12,831	0.23%	38.18%
70	想	12,793	0.23%	38.41%
71	內	12,707	0.23%	38.64%
72	以	12,530	0.23%	38.86%
73	thang	12,489	0.22%	39.09%
74	對	12,438	0.22%	39.31%
75	i	12,437	0.22%	39.53%
76	在	12,312	0.22%	39.76%
77	bē	12,221	0.22%	39.98%
78	老	12,171	0.22%	40.19%
79	行	12,117	0.22%	40.41%
80	了	12,045	0.22%	40.63%
81	主	11,924	0.21%	40.84%
82	經	11,728	0.21%	41.05%
83	得	11,501	0.21%	41.26%
84	mā	11,124	0.20%	41.46%
85	本	10,878	0.20%	41.65%
86	開	10,807	0.19%	41.85%
87	聽	10,614	0.19%	42.04%
88	án	10,585	0.19%	42.23%
89	間	10,520	0.19%	42.42%
90	路	10,468	0.19%	42.61%
91	母	10,380	0.19%	42.79%
92	不	10,250	0.18%	42.98%
93	像	10,194	0.18%	43.16%
94	事	10,099	0.18%	43.34%
95	外	10,075	0.18%	43.52%
96	chiah	10,019	0.18%	43.70%
97	食	9,976	0.18%	43.88%
98	落	9,936	0.18%	44.06%
99	款	9,851	0.18%	44.24%
100	親	9,764	0.18%	44.41%
101	代	9,477	0.17%	44.58%
102	阿	9,313	0.17%	44.75%
103	因	9,298	0.17%	44.92%
104	chit	9,022	0.16%	45.08%
105	然	8,839	0.16%	45.24%
