No.	Name	New_Freq
1	的	191414
2	是	101409
3	人	77012
4	有	69572
5	伊	62855
6	个	58816
7	無	57613
8	來	56895
9	我	55292
10	一	53352
11	講	51849
12	佇	47203
13	會	44428
14	仔	44294
15	著 (tio̍h)	42783
16	就	38974
17	去	37078
18	毋	35575
19	個	32855
20	閣	30909
21	台	30231
22	真	29926
23	做	29165
24	時	28355
25	欲	28304
26	大	28110
27	這 (tse)	27908
28	阿	27764
29	你	26689
30	佮 (kah)	26500
31	看	25287
32	予	24436
33	所	22981
34	語	22508
35	攏	22139
36	𪜶	22071
37	生	20831
38	彼 (hit)	20767
39	到	20161
40	對 (tuì)	19778
41	好	19695
42	出	18988
43	家	18408
44	學	18394
45	若	18304
46	用	18205
47	文	18114
48	袂	18033
49	共 (kā)	17973
50	心	17970
51	咱	17872
52	愛	17415
53	國	17194
54	頭	17100
55	灣	17066
56	日	16989
57	咧 (teh)	16979
58	上	16900
59	年	16154
60	教	15915
61	過	15492
62	為	15370
63	字	14318
64	較	14209
65	遮	14121
66	中	14087
67	知	14079
68	後	14015
69	也	13965
70	起	13217
71	話	13079
72	面	12831
73	想	12793
74	內	12707
75	濟	12639
76	以	12530
77	通 (thang)	12489
78	在	12312
79	老	12171
80	行	12117
81	了	12045
82	主	11924
83	代	11823
84	物	11799
85	經	11728
86	得 (tik)	11501
87	阮 (guán)	11500
88	嘛 (mā)	11124
89	本	10878
90	開	10807
91	聽	10614
92	俺	10585
93	間	10520
94	路	10468
95	母	10380
96	不	10250
97	像	10194
98	事	10099
99	外	10075
100	食	9976
101	落	9936
102	款	9851
103	猶	9789
104	親	9764
105	因	9298
106	這 (tsit)	9022
107	遐	9021
108	今	8866
109	然	8839
110	天	8705
111	呢 (nih)	8679
112	聲	8658
113	咧 (leh)	8657
114	實	8655
115	前	8654
116	意	8559
117	理	8558
118	問	8308
119	工	8306
120	法	8254
121	民	8233
122	相	8222
123	地	8190
124	子	8097
125	見	8056
126	轉	7849
127	當 (tng)	7808
128	久	7693
129	世	7689
130	啥	7654
131	受	7575
132	水	7562
133	作	7554
134	影	7552
135	感	7478
136	總	7446
137	身	7366
138	師	7343
139	死	7332
140	寫	7196
141	下	7177
142	目	7127
143	公	7118
144	才	7069
145	入	7045
146	氣	7024
147	成	7011
148	逐	6988
149	帝	6940
150	手	6938
151	明	6902
152	第	6898
153	啦	6883
154	叫	6860
155	先	6847
156	漢	6781
157	加	6761
158	敢	6719
159	動	6677
160	甲	6630
161	某	6622
162	小	6573
163	囡	6518
164	發	6318
165	應	6316
166	緊	6289
167	頂	6273
168	正	6228
169	長	6212
170	音	6194
171	化	6166
172	分	6096
173	活	6084
174	要	6079
175	厝	6059
176	自	6053
177	細	6018
178	讀	6000
179	定	5965
180	白	5926
181	恁	5906
182	誌	5882
183	月	5860
184	言	5843
185	現	5767
186	名	5730
187	新	5719
188	山	5710
189	已	5691
190	直	5687
191	己	5641
192	二	5583
193	常	5583
194	力	5570
195	情	5566
196	驚	5541
197	信	5526
198	原	5511
199	使	5492
200	重	5444
201	怎	5428
202	馬 (bé)	5417
203	神	5403
204	捌	5400
205	三	5356
206	幾	5325
207	早	5306
208	種	5288
209	者	5276
210	道	5276
211	拄	5225
212	美	5224
213	提	5197
214	平	5194
215	變	5171
216	位	5169
217	論	5168
218	別	5155
219	兩	5144
220	煞	5076
221	喜	5047
222	將	4994
223	記	4987
224	底	4980
225	拜	4977
226	歡	4962
227	錢	4960
228	按	4907
229	耶	4830
230	性	4814
231	社	4794
232	方	4776
233	可	4761
234	腳	4753
235	政	4721
236	命	4699
237	父	4698
238	點	4686
239	車	4651
240	比	4613
241	號	4591
242	請	4574
243	倒	4567
244	羅	4538
245	邊	4515
246	安	4515
247	十	4494
248	門	4480
249	利	4472
250	走	4460
251	矣	4448
252	等	4416
253	當 (tàng)	4412
254	全	4398
255	照	4388
256	烏	4379
257	禮	4368
258	傳	4362
259	通 (thong)	4264
260	尾	4257
261	苦	4251
262	關	4248
263	基	4247
264	同	4227
265	暗	4224
266	查	4212
267	囝	4204
268	仝	4202
269	度	4182
270	穌	4171
271	望	4149
272	清	4124
273	聖	4124
274	冊	4117
275	報	4083
276	甚	4078
277	續	4068
278	嘛 (mah)	4065
279	界	4059
280	體	4017
281	都	3991
282	放	3980
283	歹	3980
284	哪	3954
285	笑	3948
286	海	3923
287	算	3912
288	免	3911
289	覺	3909
290	結	3899
291	解	3869
292	喙	3864
293	表	3860
294	雖	3854
295	交 (ka)	3853
296	誠	3840
297	合	3823
298	少	3817
299	四	3805
300	項	3798
301	思	3785
302	金	3780
303	抑	3756
304	福	3755
305	風	3747
306	亦	3742
307	認	3710
308	友	3706
309	口	3700
310	光	3700
311	王	3700
312	部	3686
313	流	3684
314	媽	3630
315	土	3624
316	矸	3622
317	進	3602
318	疼	3585
319	兄	3561
320	花	3532
321	規	3515
322	立	3514
323	向 (hiòng)	3508
324	離	3473
325	陣	3438
326	族	3399
327	拍 (phah)	3381
328	電	3348
329	機	3322
330	挨	3311
331	揣	3305
332	接	3302
333	確	3297
334	運	3290
335	坐 (tsē)	3288
336	但	3276
337	南	3271
338	多	3266
339	統	3266
340	題	3261
341	其	3245
342	空	3245
343	義	3225
344	牧	3202
345	單	3201
346	足	3197
347	病	3185
348	歲	3181
349	樣	3175
350	火	3170
351	萬	3170
352	女	3153
353	𥍉	3144
354	百	3139
355	失	3117
356	詩	3115
357	條	3108
358	救	3107
359	張	3097
360	督	3074
361	北	3053
362	設	3052
363	勢	3045
364	半	3033
365	治	3010
366	能	2999
367	反	2996
368	色	2986
369	掠	2974
370	求	2958
371	連	2942
372	跤	2937
373	遠	2936
374	朋	2934
375	吶	2923
376	碇	2908
377	醫	2907
378	歌	2887
379	那	2844
380	呢 (neh)	2842
381	西	2842
382	青	2825
383	寡	2825
384	華	2815
385	校	2804
386	馬 (má)	2803
387	愈	2800
388	步	2791
389	獨	2777
390	念	2777
391	故	2765
392	場	2758
393	權	2757
394	林	2753
395	隻	2739
396	曉	2733
397	爸	2724
398	式	2719
399	止	2709
400	高	2707
401	育	2702
402	交 (kau)	2692
403	未	2691
404	示	2685
405	句	2678
406	熱	2675
407	選	2675
408	始	2674
409	駛	2649
410	該	2636
411	改	2627
412	保	2627
413	蹛	2625
414	徒	2597
415	罪	2597
416	樂	2586
417	五	2584
418	𤆬	2583
419	書	2575
420	近	2572
421	佮 (kap)	2568
422	英	2560
423	差	2558
424	參	2551
425	只	2550
426	睏	2536
427	眾	2535
428	說	2534
429	擺	2533
430	鄉	2525
431	業	2524
432	顧	2511
433	件	2507
434	太	2500
435	滿	2485
436	約	2442
437	準	2441
438	拍 (phik)	2437
439	害	2428
440	客	2428
441	買	2426
442	詞	2421
443	偌	2402
444	果	2384
445	和	2375
446	互	2371
447	份	2365
448	婦	2361
449	倚	2353
450	輸	2340
451	深	2338
452	踮	2336
453	及	2326
454	媠	2324
455	形	2319
456	對 (uì)	2304
457	調	2295
458	數	2289
459	昨	2282
460	紅	2273
461	雄	2260
462	期	2247
463	特	2247
464	軀	2245
465	士	2242
466	暝	2237
467	破	2233
468	包	2233
469	隨	2232
470	樹	2228
471	田	2226
472	陳	2210
473	史	2202
474	市	2202
475	古	2202
476	堂	2188
477	各	2186
478	呢 (ne)	2179
479	弟	2174
480	辦	2168
481	恬	2166
482	考	2158
483	彼 (he)	2156
484	府	2156
485	收	2150
486	謝	2128
487	傷 (siong)	2124
488	替	2122
489	節	2105
490	快	2102
491	捘	2079
492	冬	2077
493	最	2069
494	願	2066
495	莫	2059
496	歷	2057
497	懸	2053
498	建	2051
499	賣	2049
500	員	2047
501	東	2043
502	決	2041
503	得 (tit)	2036
504	精	2036
505	搤	2029
506	官	2017
507	味	2012
508	黨	2008
509	支	2008
510	城	2004
511	永	2003
512	造	2000
513	觀	1998
514	𠢕	1977
515	娘 (niû)	1965
516	戰	1960
517	強	1951
518	牛	1950
519	共 (kiōng)	1939
520	檢	1938
521	穿	1927
522	衫	1926
523	祈	1904
524	庄	1900
525	跛	1891
526	草	1890
527	艱	1890
528	持	1890
529	送	1880
530	計	1872
531	管	1866
532	盡	1860
533	趁	1859
534	唱	1859
535	討	1850
536	禱	1844
537	由	1835
538	屎	1831
539	魚	1819
540	燒	1819
541	院	1816
542	再	1812
543	伯	1783
544	怪	1771
545	園	1769
546	難	1765
547	致	1764
548	消	1760
549	識	1756
550	仁	1751
551	換	1747
552	德	1744
553	創	1740
554	完	1735
555	議	1734
556	爿	1734
557	洗	1727
558	切	1715
559	展	1712
560	功	1703
561	石	1702
562	飛	1702
563	散	1698
564	夠	1690
565	備	1689
566	回	1685
567	習	1682
568	趕	1679
569	制	1672
570	酒	1671
571	船	1670
572	狗	1668
573	喝	1668
574	牽	1667
575	奇	1664
576	每	1655
577	課	1655
578	留	1650
