No.	Name	Pronunciation	New_Freq
120	的	ê	184693
247	是	sī	103109
1	仔	á	90696
1278	伊	i	63255
7	無	bô	63119
490	个	ê	59866
91	來	lâi	58294
49	有	ū	53685
3	人	lâng	52526
1758	佇	tī	47453
46	著	tio̍h	46783
20	一	tsi̍t	44439
173	講	kóng	40867
48	毋	m̄	39475
258	去	khì	38728
3719	我	guá	36961
2	頭	thâu	34601
1189	個	kò	33305
33	時	sî	32755
492	台	tâi	31281
470	真	tsin	31026
5	大	tuā	30086
700	閣	koh	29890
160	阿	a	29473
4205	這	tse	27958
87	看	khuànn	27720
1283	你	lí	27089
2026	佮	kah	26700
10	心	sim	25770
17	出	tshut	25088
1270	予	hōo	24836
368	所	sóo	24281
28	好	hó	23707
38	會	hē	23113
38	會	huē	23113
124	對	tuì	22528
29	人	lîn	22442
29	人	jîn	22442
3573	𪜶	in	22121
47	文	bûn	22064
422	語	gí	21976
724	彼	hit	21517
276	有	iú	21336
1220	就	tsiū	21083
52	國	kok	21044
200	愛	ài	19415
1336	就	tō	18740
15	面	bīn	18694
50	做	tsò	18482
50	做	tsuè	18482
2874	我	ngóo	18480
24	中	tiong	18403
92	學	ha̍k	18199
4	水	tsuí	18181
2839	共	kā	18073
3884	咱	lán	17922
496	到	kàu	17333
126	用	iōng	17269
1796	咧	teh	17229
32	後	āu	17177
60	年	nî	16886
174	一	it	16762
58	話	uē	16729
70	起	khí	16425
18	路	lōo	16368
14	食	tsia̍h	15378
72	主	tsú	15274
153	教	kàu	15246
8	手	tshiú	15155
456	也	iā	15065
605	欲	beh	14669
605	欲	bueh	14669
71	內	lāi	14406
19	日	ji̍t	14244
19	日	li̍t	14244
119	代	tāi	14215
12	公	kong	14120
228	在	tsāi	14062
758	講	káng	13931
53	不	put	13916
107	本	pún	13828
44	外	guā	13765
398	較	khah	13499
302	了	liáu	13495
740	通	thang	13239
765	以	í	13230
76	事	sū	13101
850	為	uî	12403
34	工	kang	12379
736	得	tik	12251
109	親	tshin	12094
65	意	ì	12059
130	家	ke	11984
132	老	lāu	11954
56	法	huat	11954
115	袂	bē	11866
115	袂	buē	11866
42	大	tāi	11861
78	理	lí	11858
916	若	nā	11582
6	區	khu	11573
3762	阮	guán	11550
1352	嘛	mā	11524
